x,y,gz_mGal
-7.758620689655171532e+01,-9.827586206896552312e+01,-4.456804133951663971e-03
-6.724137931034482563e+01,-9.827586206896552312e+01,-4.920065868645906448e-03
-5.689655172413793593e+01,-9.827586206896552312e+01,-5.387794692069292068e-03
-4.655172413793103203e+01,-9.827586206896552312e+01,-5.840046796947717667e-03
-3.620689655172412813e+01,-9.827586206896552312e+01,-6.252722814679145813e-03
-2.586206896551723844e+01,-9.827586206896552312e+01,-6.596887018531560898e-03
-1.551724137931034875e+01,-9.827586206896552312e+01,-6.845978554338216782e-03
-5.172413793103430635e+00,-9.827586206896552312e+01,-6.976628676056861877e-03
5.172413793103459057e+00,-9.827586206896552312e+01,-6.976701319217681885e-03
1.551724137931034875e+01,-9.827586206896552312e+01,-6.845780648291110992e-03
2.586206896551723844e+01,-9.827586206896552312e+01,-6.596886087208986282e-03
3.620689655172412813e+01,-9.827586206896552312e+01,-6.252444814890623093e-03
4.655172413793104624e+01,-9.827586206896552312e+01,-5.840046796947717667e-03
5.689655172413793593e+01,-9.827586206896552312e+01,-5.387794692069292068e-03
6.724137931034482563e+01,-9.827586206896552312e+01,-4.919994622468948364e-03
7.758620689655174374e+01,-9.827586206896552312e+01,-4.456805996596813202e-03
8.793103448275863343e+01,-9.827586206896552312e+01,-4.012268967926502228e-03
9.827586206896552312e+01,-9.827586206896552312e+01,-3.595593618229031563e-03
1.086206896551724412e+02,-9.827586206896552312e+01,-3.211864503100514412e-03
1.189655172413793025e+02,-9.827586206896552312e+01,-2.863329136744141579e-03
1.293103448275862206e+02,-9.827586206896552312e+01,-2.549913246184587479e-03
1.396551724137931387e+02,-9.827586206896552312e+01,-2.270151162520051003e-03
1.500000000000000000e+02,-9.827586206896552312e+01,-2.021838445216417313e-03
-1.500000000000000000e+02,-8.793103448275861922e+01,-2.175907138735055923e-03
-1.396551724137931103e+02,-8.793103448275861922e+01,-2.457968192175030708e-03
-1.293103448275862206e+02,-8.793103448275861922e+01,-2.779191359877586365e-03
-1.189655172413793025e+02,-8.793103448275861922e+01,-3.143378067761659622e-03
-1.086206896551724128e+02,-8.793103448275861922e+01,-3.553829854354262352e-03
-9.827586206896552312e+01,-8.793103448275861922e+01,-4.012223798781633377e-03
-8.793103448275861922e+01,-8.793103448275861922e+01,-4.518277943134307861e-03
