X,Y,Z,formation
4485486.874,1672831.461,1757.337,B1
4485414.759,1672784.76,1754.953,B1
4485338.278,1672735.231,1752.609,B1
4485253.067,1672680.048,1750.342,B1
4485154.764,1672616.387,1748.192,B1
4485039.001,1672541.42,1746.197,B1
4484901.627,1672452.455,1744.4,B1
4484744.273,1672350.552,1742.857,B1
4484574.921,1672240.878,1741.643,B1
4484401.872,1672128.809,1740.836,B1
4484233.431,1672019.726,1740.514,B1
4484077.901,1671919.002,1740.757,B1
4483942.035,1671831.013,1741.619,B1
4483824.917,1671755.166,1743.018,B1
4483723.264,1671689.334,1744.838,B1
4483633.797,1671631.393,1746.962,B1
4483553.232,1671579.218,1749.274,B1
4483478.314,1671530.699,1751.659,B1
4483406.909,1671484.456,1754.05,B1
4483338.358,1671440.061,1756.44,B1
4483272.105,1671397.155,1758.83,B1
4483207.592,1671355.375,1761.22,B1
4483144.262,1671314.36,1763.61,B1
4483081.751,1671273.877,1765.992,B1
4483020.914,1671234.477,1768.307,B1
4482963.065,1671197.013,1770.476,B1
4482909.514,1671162.331,1772.422,B1
4482861.573,1671131.284,1774.066,B1
4482820.538,1671104.709,1775.333,B1
4482786.716,1671082.805,1776.204,B1
4482758.839,1671064.751,1776.745,B1
4482735.495,1671049.632,1777.036,B1
4482715.27,1671036.535,1777.154,B1
4482696.755,1671024.544,1777.177,B1
4484771.466,1673249.647,2466.365,B1
4484887.623,1673192.81,2465.062,B1
4485003.138,1673136.286,2464.172,B1
4485117.374,1673080.389,2464.11,B1
4485229.69,1673025.432,2465.291,B1
4485339.445,1672971.727,2468.131,B1
4485446.146,1672919.517,2472.706,B1
4485549.637,1672868.878,2478.294,B1
4485649.814,1672819.86,2484.066,B1
4485746.569,1672772.517,2489.193,B1
4485839.793,1672726.901,2492.858,B1
4485929.272,1672683.119,2494.855,B1
4486014.644,1672641.346,2495.828,B1
4486095.537,1672601.765,2496.488,B1
4486171.576,1672564.558,2497.544,B1
4486242.431,1672529.888,2499.682,B1
4486308.535,1672497.544,2503.069,B1
4486370.985,1672466.987,2507.422,B1
4486430.901,1672437.669,2512.444,B1
4486489.403,1672409.043,2517.84,B1
4471293.867,1663639.046,1999.975,B3
4471447.716,1663738.701,2003.492,B3
4471601.304,1663838.187,2007.001,B3
4471754.369,1663937.334,2010.492,B3
4471906.651,1664035.973,2013.958,B3
4472057.887,1664133.934,2017.389,B3
4472207.815,1664231.048,2020.779,B3
4472356.176,1664327.147,2024.117,B3
4472502.707,1664422.06,2027.396,B3
4472647.146,1664515.618,2030.608,B3
4472789.234,1664607.652,2033.743,B3
4472928.708,1664697.993,2036.794,B3
4473065.306,1664786.471,2039.751,B3
4473198.767,1664872.918,2042.608,B3
4473328.832,1664957.165,2045.354,B3
4473455.415,1665039.156,2047.977,B3
4473578.707,1665119.014,2050.454,B3
4473698.92,1665196.879,2052.762,B3
4473816.269,1665272.889,2054.88,B3
4473930.968,1665347.18,2056.784,B3
4474043.228,1665419.893,2058.452,B3
4474153.263,1665491.165,2059.862,B3
4474261.289,1665561.135,2060.991,B3
4474367.518,1665629.941,2061.816,B3
4474472.163,1665697.721,2062.314,B3
4474575.439,1665764.614,2062.464,B3
4474677.558,1665830.757,2062.243,B3
4474778.733,1665896.29,2061.627,B3
4474879.177,1665961.349,2060.597,B3
4474979.082,1666026.058,2059.16,B3
4475078.624,1666090.532,2057.341,B3
4475177.986,1666154.889,2055.166,B3
4475277.344,1666219.244,2052.661,B3
4475376.877,1666283.711,2049.852,B3
4475476.763,1666348.408,2046.764,B3
4475577.181,1666413.449,2043.424,B3
4475678.309,1666478.95,2039.857,B3
4475780.327,1666545.027,2036.089,B3
4475883.412,1666611.795,2032.147,B3
4475987.743,1666679.369,2028.055,B3
4476093.498,1666747.866,2023.84,B3
4476200.856,1666817.403,2019.527,B3
4476309.898,1666888.028,2015.144,B3
4476420.293,1666959.53,2010.711,B3
4476531.598,1667031.621,2006.247,B3
4476643.368,1667104.013,2001.774,B3
4476755.158,1667176.419,1997.312,B3
4476866.526,1667248.55,1992.883,B3
4476977.027,1667320.121,1988.506,B3
4477086.218,1667390.842,1984.202,B3
4477193.654,1667460.427,1979.993,B3
4477298.891,1667528.588,1975.898,B3
4477401.486,1667595.036,1971.939,B3
4477500.994,1667659.485,1968.136,B3
4477596.971,1667721.648,1964.51,B3
4477688.976,1667781.239,1961.082,B3
4477776.771,1667838.1,1957.865,B3
4477860.46,1667892.304,1954.854,B3
4477940.184,1667943.94,1952.043,B3
4478016.082,1667993.097,1949.427,B3
4478088.291,1668039.866,1947.001,B3
4478156.954,1668084.336,1944.76,B3
4478222.209,1668126.6,1942.698,B3
4478284.194,1668166.747,1940.811,B3
4478343.049,1668204.866,1939.093,B3
4478398.915,1668241.048,1937.539,B3
4478451.929,1668275.384,1936.144,B3
4478502.232,1668307.963,1934.902,B3
4478549.962,1668338.877,1933.809,B3
4478595.258,1668368.214,1932.857,B3
4478638.254,1668396.061,1932.006,B3
4478679.081,1668422.503,1931.197,B3
4478717.87,1668447.626,1930.366,B3
4478754.752,1668471.513,1929.451,B3
4478789.856,1668494.249,1928.392,B3
4478823.314,1668515.918,1927.124,B3
4478855.256,1668536.606,1925.587,B3
4478885.813,1668556.397,1923.718,B3
4478915.115,1668575.374,1921.455,B3
4478943.292,1668593.625,1918.736,B3
4478970.475,1668611.231,1915.5,B3
4478996.795,1668628.277,1911.683,B3
4479022.383,1668644.849,1907.224,B3
4479047.356,1668661.023,1902.077,B3
4479071.775,1668676.838,1896.271,B3
4479095.684,1668692.323,1889.859,B3
4479119.125,1668707.505,1882.892,B3
4479142.143,1668722.413,1875.422,B3
4479164.781,1668737.075,1867.5,B3
4479187.083,1668751.519,1859.178,B3
4479209.093,1668765.774,1850.509,B3
4479230.852,1668779.867,1841.543,B3
4479252.406,1668793.827,1832.333,B3
4479273.798,1668807.682,1822.93,B3
4479295.071,1668821.459,1813.386,B3
4479316.269,1668835.188,1803.753,B3
4472055.034,1663807.594,1092.402,B3
4472127.417,1663893.651,1096.432,B3
4472199.97,1663979.911,1100.368,B3
4472272.864,1664066.575,1104.115,B3
4472346.269,1664153.847,1107.578,B3
4472420.356,1664241.93,1110.662,B3
4472495.293,1664331.023,1113.273,B3
4472571.251,1664421.33,1115.323,B3
4472648.401,1664513.053,1116.919,B3
4472726.905,1664606.388,1118.379,B3
4472806.931,1664701.531,1120.035,B3
4472888.644,1664798.679,1122.217,B3
4472972.21,1664898.029,1125.258,B3
4473057.792,1664999.778,1129.488,B3
4473145.45,1665103.993,1135.192,B3
4473234.714,1665210.118,1142.4,B3
4473324.942,1665317.388,1151.062,B3
4473415.495,1665425.044,1161.133,B3
4473505.729,1665532.322,1172.566,B3
4473595.006,1665638.46,1185.312,B3
4473682.686,1665742.7,1199.324,B3
4473768.332,1665844.522,1214.535,B3
4473851.77,1665943.719,1230.852,B3
4473932.85,1666040.112,1248.18,B3
4474011.417,1666133.516,1266.426,B3
4474087.318,1666223.753,1285.495,B3
4474160.402,1666310.638,1305.294,B3
4474230.495,1666393.969,1325.58,B3
4474297.311,1666473.403,1345.169,B3
4474360.514,1666548.541,1362.501,B3
4474419.767,1666618.984,1376.014,B3
4474474.735,1666684.333,1384.149,B3
4474525.084,1666744.189,1385.344,B3
4474570.486,1666798.165,1378.058,B3
4474611.386,1666846.788,1362.153,B3
4474649.522,1666892.125,1339.862,B3
4474686.755,1666936.391,1313.645,B3
4474724.949,1666981.796,1285.962,B3
4474765.964,1667030.557,1259.273,B3
4474811.663,1667084.887,1236.039,B3
4474863.801,1667146.869,1218.487,B3
4474923.248,1667217.542,1206.918,B3
4474990.437,1667297.417,1200.677,B3
4475065.795,1667387.005,1199.101,B3
