OBJECTID,ID_EstGrav,Tipo_EstGrav,Fecha,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_Sobre_NivelMar,Altura_Elipsoidal,GravObs,GravTeor_Elip,GravTeor_Somig,Corr_AireLibre,Anom_AireLibre,CorrBouguer,AnomSimpleBouguer,AnomBouguerTotal,AnomRegional,AnomResidual,Estado,Equipo,AUTOR
39,GRAV_37,1,2/06/2026,4732302.273,2054196.703,9377,4.486510719,-75.41333289,2236.89,2268.929,977534.7995,978064.2711,978064.2711,700.1914894,170.719849,250.1130513,-79.39320233,-57.30361826,-60.67913858,3.375520328,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
40,GRAV_38,1,2/06/2026,4732096.776,2053827.901,9377,4.483169775,-75.41517341,2330.99,2363.039,977519.6988,978064.2242,978064.2242,729.2338354,184.7084365,260.4871702,-75.7787337,-55.03336782,-59.72399882,4.690631004,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
41,GRAV_39,1,22/05/2026,4732325.952,2053491.193,9377,4.480131989,-75.41309861,2360.71,2392.698,977513.9232,978064.1815,978064.1815,738.3866028,188.1282559,263.7565996,-75.62834367,-56.75925161,-59.92709791,3.167846295,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
42,GRAV_40,1,22/05/2026,4732667.025,2053068.691,9377,4.476321733,-75.41001315,2257.39,2289.289,977534.7482,978064.1281,978064.1281,706.4745854,177.0946957,252.3574149,-75.26271922,-56.33268294,-59.60471449,3.272031552,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
43,GRAV_41,1,21/05/2026,4731477.883,2051377.532,9377,4.460994447,-75.42067666,2458.79,2490.69,977493.5156,978063.9135,978063.9135,768.626934,198.2290278,274.5586467,-76.32961898,-56.91549928,-58.43335523,1.517855953,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
44,GRAV_42,1,21/05/2026,4731622.846,2050831.809,9377,4.456064178,-75.41935448,2224.84,2256.653,977540.4808,978063.8446,978063.8446,696.4031158,173.0392786,248.7598191,-75.72054052,-58.11158275,-58.53184743,0.420264677,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
45,GRAV_43,1,8/06/2026,4732711.225,2051020.308,9377,4.457800892,-75.40955443,2127.49,2159.141,977561.2336,978063.8689,978063.8689,666.3109126,163.6756245,238.0106842,-74.33505971,-58.51319131,-59.05997321,0.546781892,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
46,GRAV_44,1,10/06/2026,4733704.325,2051886.66,9377,4.465664106,-75.40063261,1956.58,1988.203,977596.1932,978063.9788,978063.9788,613.5594458,145.7738412,219.1675099,-73.39366862,-54.60747005,-59.06638339,4.458913346,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
47,GRAV_45,1,9/06/2026,4733693.208,2049842.707,9377,4.447181553,-75.40067278,1749.19,1780.572,977633.9683,978063.7207,978063.7207,549.4845192,119.7320693,196.2795204,-76.54745116,-58.99348206,-59.57440129,0.58091923,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
48,GRAV_46,1,9/06/2026,4733789.023,2050517.803,9377,4.453288853,-75.39982933,2059,2090.428,977576.2893,978063.8059,978063.8059,645.1060808,157.5894778,230.4361774,-72.84669965,-57.00330814,-59.15692433,2.153616196,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
49,GRAV_47,1,5/06/2026,4734704.195,2049993.869,9377,4.448578089,-75.39156883,2077.42,2108.632,977570.9016,978063.7402,978063.7402,650.7238352,157.8852238,232.4428766,-74.55765281,-59.58726748,-60.41091111,0.823643633,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
50,GRAV_48,1,5/06/2026,4735593.789,2049834.068,9377,4.447159106,-75.38354943,1887.92,1918.982,977607.8721,978063.7204,978063.7204,592.1978452,136.349508,211.5370042,-75.18749619,-60.28376864,-61.09888643,0.815117788,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
51,GRAV_49,1,8/06/2026,4734930.07,2050628.869,9377,4.454326672,-75.38955235,1663.82,1695.081,977644.8824,978063.8204,978063.8204,523.1019966,104.1640119,186.8555081,-82.69149617,-58.92112693,-60.28658446,1.365457525,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
52,GRAV_50,1,5/06/2026,4734738.049,2050933.729,9377,4.457077722,-75.39129128,1664.83,1696.167,977643.273,978063.8588,978063.8588,523.4371362,102.8513473,186.9752222,-84.12387485,-58.89296402,-60.30428416,1.411320139,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
53,93,1,11/05/2019,4732883.464,2049345.17,9377,4.442658809,-75.40795342,,1802.569,977628.5013,978063.6578,978063.6578,556.2727934,121.1163286,198.7043371,-77.58800844,-59.65488222,-59.10937007,-0.545512151,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
54,1000,0,"30/03/2019, 31/03/2019, 02/04/2019, 03/04/2019, 04/04/2019, 05/04/2019, 06/04/2019, 07/05/2019, 08/05/2019, 09/05/2019, 10/05/2019, 11/05/2019, 13/05/2019, 14/05/2019, 15/05/2019, 16/05/2019, 17/05/2019, 06/07/2019, 07/07/2019, 08/07/2019, 09/07/2019, 10/07/2019, 12/07/2019, 13/07/2019, 14/07/2019, 15/07/2019, 16/07/2019, 17/07/2019, 19/07/2019, 20/07/2019, 24/07/2019",4733205.458,2057405.449,9377,4.515552197,-75.40529071,,2127.088,977552.7659,978064.6806,978064.6806,656.4193568,144.5046114,234.4773548,-89.97274341,-73.4357282,-68.0730281,-5.3627001,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
