OBJECTID,ID_EstMag,Tipo,Fecha,Estado,Equipo,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_SobreNivelMar,Altura_Elipsoidal,AnomMag,FieldCorr_nT,Std_dev_nT,AUTOR
132,2004,1,20/05/2019,Inactiva,Scintrex ENVI,4735105.07,2054792.22,9377,4.494836,-75.388107,,2452.6,1318.305799,,,SGC
133,2005,1,20/05/2019,Inactiva,Scintrex ENVI,4735474.946,2054506.359,9377,4.492262,-75.384766,,2505.5,-79.51610759,,,SGC
134,2006,1,20/05/2019,Inactiva,Scintrex ENVI,4736012.609,2054484.262,9377,4.492078,-75.379921,,2523.4,-420.1683125,,,SGC
135,2007,1,21/05/2019,Inactiva,Scintrex ENVI,4736734.567,2051496.822,9377,4.465085,-75.373329,,2028,93.55374867,,,SGC
136,2008,1,21/05/2019,Inactiva,Scintrex ENVI,4736503.115,2051932.179,9377,4.469015,-75.375427,,2042.5,193.1221981,,,SGC
137,2009,1,21/05/2019,Inactiva,Scintrex ENVI,4736007.121,2051733.616,9377,4.467205,-75.37989,,2099.4,240.1075278,,,SGC
138,2010,1,21/05/2019,Inactiva,Scintrex ENVI,4735375.753,2051581.94,9377,4.465815,-75.385574,,2170.2,247.4290084,,,SGC
139,2011,1,21/05/2019,Inactiva,Scintrex ENVI,4735219.029,2052093.368,9377,4.470435,-75.387001,,2225.2,473.2158456,,,SGC
140,2012,1,21/05/2019,Inactiva,Scintrex ENVI,4735086.796,2052558.271,9377,4.474635,-75.388206,,2234.4,1184.678529,,,SGC
141,2013,1,21/05/2019,Inactiva,Scintrex ENVI,4734477.804,2052801.115,9377,4.476813,-75.3937,,2309.2,472.3968023,,,SGC
142,2014,1,22/05/2019,Inactiva,Scintrex ENVI,4736172.547,2050271.659,9377,4.45399,-75.378357,,1849.2,-399.1421733,,,SGC
143,2015,1,22/05/2019,Inactiva,Scintrex ENVI,4735690.877,2050593.144,9377,4.456883,-75.382706,,1942.5,-217.1516857,,,SGC
144,2016,1,22/05/2019,Inactiva,Scintrex ENVI,4735346.782,2050999.231,9377,4.460545,-75.385818,,1967.9,156.0580376,,,SGC
145,2017,1,22/05/2019,Inactiva,Scintrex ENVI,4736052.982,2050745.03,9377,4.458267,-75.379448,,1937.8,143.3587023,,,SGC
146,2018,1,22/05/2019,Inactiva,Scintrex ENVI,4735844.451,2051198.562,9377,4.462362,-75.38134,,2014.2,134.8238899,,,SGC
147,2019,1,23/05/2019,Inactiva,Scintrex ENVI,4736417.744,2056946.518,9377,4.514355,-75.376343,,2287.9,15.60580689,,,SGC
148,2020,1,23/05/2019,Inactiva,Scintrex ENVI,4735964.843,2056716.313,9377,4.51226,-75.380417,,2297.1,42.14932377,,,SGC
149,2021,1,23/05/2019,Inactiva,Scintrex ENVI,4735626.361,2056247.969,9377,4.508015,-75.383453,,2265.9,143.7625063,,,SGC
150,2022,1,23/05/2019,Inactiva,Scintrex ENVI,4735057.58,2056321.712,9377,4.508665,-75.38858,,2358.7,161.2069556,,,SGC
151,2023,1,23/05/2019,Inactiva,Scintrex ENVI,4734544.747,2056162.706,9377,4.507212,-75.393196,,2405.1,77.45575843,,,SGC
152,2024,1,24/05/2019,Inactiva,Scintrex ENVI,4736621.93,2055167.597,9377,4.498275,-75.374451,,2358.1,-186.4810813,,,SGC
153,2025,1,24/05/2019,Inactiva,Scintrex ENVI,4736706.736,2054659.171,9377,4.49368,-75.373672,,2391.8,-218.0140428,,,SGC
154,2026,1,24/05/2019,Inactiva,Scintrex ENVI,4736369.002,2055511.463,9377,4.501377,-75.37674,,2326.3,-53.63838081,,,SGC
155,2027,1,24/05/2019,Inactiva,Scintrex ENVI,4736092.975,2056020.073,9377,4.505968,-75.379242,,2308.2,44.89442967,,,SGC
156,3000,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4739393.975,2050341.524,9377,4.454715,-75.349335,,1988.9,7.013196515,,,SGC
157,3001,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4740605.143,2049093.932,9377,4.443468,-75.338387,,2125.8,-13.73404611,,,SGC
158,3002,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4740899.307,2049457.048,9377,4.44676,-75.335747,,2116,-16.92251157,,,SGC
159,3003,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4740550.888,2049871.405,9377,4.450497,-75.338898,,2073.9,-22.50030243,,,SGC
160,3004,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4740664.957,2050317.365,9377,4.454533,-75.337883,,2074.4,11.94296281,,,SGC
161,3005,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4741008.066,2050645.379,9377,4.457509,-75.334801,,2010.5,8.02826547,,,SGC
162,3006,1,22/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4740906.307,2051140.9,9377,4.461987,-75.335732,,1948.6,-40.63142742,,,SGC
163,73124018,1,10/05/2019,Inactiva,Scintrex ENVI,4731857.954,2048980.025,9377,4.442184,-75.417191,,1822.4,82.16896009,,,SGC
