X,Y,Z,formation
4737992.727,2053185.067,2702.649039,C4b
4737992.727,2053043.483,2618.83942,C4b
4737992.727,2052940.632,2516.964367,C4b
4737992.727,2052789.716,2435.027533,C4b
4737992.727,2052636.28,2400.320009,C4b
4737992.727,2052523.826,2420.767749,C4b
4737992.727,2052375.57,2436.120045,C4b
4737992.727,2052123.283,2436.120045,C4b
4737992.727,2051943.013,2436.120045,C4b
4737992.727,2051740.594,2437.729729,C4b
4737992.727,2051560.918,2441.056932,C4b
4737992.727,2051377.844,2444.447051,C4b
